2026-07-17 17:40:03,740 - 105 - ERROR - logging_config - Player data is not available now or having troulble to load this data | Error : I/O operation on closed file.
2026-07-17 17:44:31,687 - 105 - ERROR - logging_config - Player data is not available now or having troulble to load this data | Error : I/O operation on closed file.
2026-09-24 07:18:40,084 | project.py | get_top_scorers | Line 365 | ERROR | cannot unpack non-iterable NoneType object
2026-09-24 07:18:40,084 | project.py | get_top_scorers | Line 365 | ERROR | 'gk_clean_sheets'
2026-09-24 07:18:40,327 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:26:38,084 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:26:38,087 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:26:38,090 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:26:38,106 | project.py | get_team_name | Line 74 | ERROR | 
2026-09-24 07:26:38,109 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:26:38,109 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:26:38,109 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:26:38,308 | project.py | filter_teams_by_rank | Line 206 | ERROR | 'Position'
2026-09-24 07:26:39,704 | project.py | format_knockout_bracket | Line 291 | ERROR | 'Stage'
2026-09-24 07:26:39,704 | project.py | format_knockout_bracket | Line 291 | ERROR | slice(None, None, None)
2026-09-24 07:26:39,828 | project.py | display_stage_results | Line 333 | ERROR | list indices must be integers or slices, not str
2026-09-24 07:26:39,828 | project.py | display_stage_results | Line 333 | ERROR | 'Stage'
2026-09-24 07:26:40,153 | project.py | process_player_stats | Line 407 | ERROR | 'gk_games' Something went wronge try again
2026-09-24 07:26:40,326 | project.py | get_top_scorers | Line 365 | ERROR | cannot unpack non-iterable NoneType object
2026-09-24 07:26:40,326 | project.py | get_top_scorers | Line 365 | ERROR | 'gk_clean_sheets'
2026-09-24 07:26:40,527 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:30:17,126 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:30:17,129 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:30:17,132 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:30:17,180 | project.py | get_team_name | Line 74 | ERROR | 
2026-09-24 07:30:17,186 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:30:17,187 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:30:17,188 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:30:17,447 | project.py | filter_teams_by_rank | Line 206 | ERROR | 'Position'
2026-09-24 07:30:18,582 | project.py | format_knockout_bracket | Line 291 | ERROR | 'Stage'
2026-09-24 07:30:18,585 | project.py | format_knockout_bracket | Line 291 | ERROR | slice(None, None, None)
2026-09-24 07:30:18,704 | project.py | display_stage_results | Line 333 | ERROR | list indices must be integers or slices, not str
2026-09-24 07:30:18,705 | project.py | display_stage_results | Line 333 | ERROR | 'Stage'
2026-09-24 07:30:18,942 | project.py | process_player_stats | Line 407 | ERROR | 'gk_games' Something went wronge try again
2026-09-24 07:30:19,061 | project.py | get_top_scorers | Line 365 | ERROR | cannot unpack non-iterable NoneType object
2026-09-24 07:30:19,062 | project.py | get_top_scorers | Line 365 | ERROR | 'gk_clean_sheets'
2026-09-24 07:30:19,295 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:37:16,812 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:37:16,815 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:37:16,818 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:37:16,855 | project.py | get_team_name | Line 74 | ERROR | 
2026-09-24 07:37:16,859 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:37:16,859 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:37:16,859 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:37:17,320 | project.py | filter_teams_by_rank | Line 206 | ERROR | 'Position'
2026-09-24 07:37:18,152 | project.py | format_knockout_bracket | Line 291 | ERROR | 'Stage'
2026-09-24 07:37:18,152 | project.py | format_knockout_bracket | Line 291 | ERROR | slice(None, None, None)
2026-09-24 07:37:18,200 | project.py | display_stage_results | Line 333 | ERROR | list indices must be integers or slices, not str
2026-09-24 07:37:18,201 | project.py | display_stage_results | Line 333 | ERROR | 'Stage'
2026-09-24 07:37:18,408 | project.py | process_player_stats | Line 407 | ERROR | 'gk_games' Something went wronge try again
2026-09-24 07:37:18,579 | project.py | get_top_scorers | Line 365 | ERROR | cannot unpack non-iterable NoneType object
2026-09-24 07:37:18,580 | project.py | get_top_scorers | Line 365 | ERROR | 'gk_clean_sheets'
2026-09-24 07:37:18,772 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:39:22,358 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:39:22,360 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
